shipping_id,order_id,shipping_date,return_date,shipping_providers,delivery_status
1,7136,1/7/2024,,dhl,Delivered
2,1107,6/22/2023,,bluedart,Delivered
3,2787,1/1/2023,,fedex,Delivered
4,1033,11/25/2022,,fedex,Delivered
5,19241,9/13/2022,,fedex,Delivered
6,6035,7/11/2021,,fedex,Delivered
7,1069,4/29/2023,,fedex,Delivered
8,4499,3/7/2023,,fedex,Delivered
9,11560,11/12/2022,,fedex,Delivered
10,17500,1/22/2022,,fedex,Delivered
11,14043,10/16/2021,,fedex,Delivered
12,1761,9/12/2020,,fedex,Delivered
13,11416,3/10/2020,,fedex,Delivered
14,4461,1/26/2024,,fedex,Delivered
15,3291,9/29/2023,,fedex,Delivered
16,8262,4/7/2023,,fedex,Delivered
17,11768,7/30/2021,,fedex,Delivered
18,17468,8/15/2023,,fedex,Delivered
19,12838,7/4/2022,,fedex,Delivered
20,14299,4/8/2022,,fedex,Delivered
21,9270,1/26/2021,,fedex,Delivered
22,16246,11/1/2020,,fedex,Delivered
23,837,10/2/2020,,fedex,Delivered
24,4429,4/1/2023,,fedex,Delivered
25,11566,12/10/2021,,fedex,Delivered
26,3893,2/4/2024,,fedex,Delivered
27,6581,4/1/2022,,fedex,Delivered
28,17054,9/25/2020,,fedex,Delivered
29,13553,2/2/2020,,fedex,Delivered
30,7110,7/18/2023,,fedex,Delivered
31,19741,2/22/2023,,fedex,Delivered
32,4899,6/22/2022,,fedex,Delivered
33,11288,8/12/2020,,fedex,Delivered
34,16726,8/22/2023,,fedex,Delivered
35,3017,7/25/2022,,fedex,Delivered
36,4613,8/16/2020,,fedex,Delivered
37,6651,3/16/2022,,fedex,Delivered
38,1463,5/28/2021,,fedex,Delivered
39,2771,9/17/2020,,fedex,Delivered
40,4133,1/9/2024,,fedex,Delivered
41,15994,11/19/2023,,fedex,Delivered
42,2923,4/1/2023,,fedex,Delivered
43,10330,1/20/2021,,fedex,Delivered
44,15351,12/29/2020,,fedex,Delivered
45,3829,4/14/2020,,fedex,Delivered
46,7618,9/27/2022,,fedex,Delivered
47,12556,4/12/2021,,fedex,Delivered
48,1705,4/20/2020,,fedex,Delivered
49,1859,12/29/2021,,fedex,Delivered
50,7404,11/10/2021,,fedex,Delivered
51,13507,11/5/2021,,fedex,Delivered
52,12246,1/20/2024,,fedex,Delivered
53,14153,11/21/2023,,fedex,Delivered
54,5821,12/12/2022,,fedex,Delivered
55,19759,12/11/2022,,fedex,Delivered
56,11104,4/27/2022,,fedex,Delivered
57,6785,5/22/2023,,fedex,Delivered
58,10564,5/22/2023,,fedex,Delivered
59,6289,5/17/2020,,fedex,Delivered
60,2909,8/31/2023,,fedex,Delivered
61,7174,1/15/2023,,fedex,Delivered
